Token	Class
διαβαίνω	Verb
ἄπειρος	Adjective
βασιλικός	Adjective
αὐξάνω	Verb
ἦθος	Noun-N
τιμωρία	Noun-F
κοσμέω	Verb
θερμός	Adjective
ἐντός	Adverb
ἅρμα	Noun-N
παιδίον	Noun-N
οἴχομαι	Verb
Δημοσθένης	Noun-M
πλούσιος	Adjective
μεταβολή	Noun-F
Συρία	Noun-F
πηγή	Noun-F
κάτω	Adverb
στράτευμα	Noun-N
συντίθημι	Verb
ἄστυ	Noun-N
συμβουλεύω	Verb
ἑκών	Adjective
προάγω	Verb
φθάνω	Verb
ἀγωνίζω	Verb
ἐντυγχάνω	Verb
ἑορτή	Noun-F
Ἰνδός	Noun-M
προέρχομαι	Verb
πρόθυμος	Adverb
πληγή	Noun-F
πολιορκέω	Verb
σπουδάζω	Verb
τέμνω	Verb
λογίζομαι	Verb
μνημονεύω	Verb
θάπτω	Verb
ἕλκω	Verb
ἐκπίπτω	Verb
βοάω	Verb
ὀφείλω	Verb
ἐκπέμπω	Verb
γενεά	Noun-F
ὅρος	Noun-M
ποῦ	Adverb
πόσος	Adjective
Ἄρης	Noun-M
ἐγείρω	Verb
εἴωθα	Verb
γαμέω	Verb
ἄρτος	Noun-M
ἐξάγω	Verb
ἀπολύω	Verb
ἀποστρέφω	Verb
βαδίζω	Verb
δεῖπνον	Noun-N
μισθός	Noun-M
λιμήν	Noun-M
στέφανος	Noun-M
τεσσαράκοντα	Adjective
ἀναφέρω	Verb
ἄνεμος	Noun-M
ἀνοίγνυμι	Verb
ἀγρός	Noun-M
δεῦρο	Adverb
πλοῖον	Noun-N
ἱστορέω	Verb
ἄγαλμα	Noun-N
ἰχθύς	Noun-M
μέλος	Noun-N
οὐδαμός	Adverb
καταφρονέω	Verb
μέτρον	Noun-N
ὁρμή	Noun-F
ἄχρι	Adverb
παρασκευή	Noun-F
ἀνατίθημι	Verb
ἀπαντάω	Verb
Ἱεροσόλυμα	Noun-N
εὐθεῖα	Adverb
πάντως	Adverb
ναί	Adverb
τηλικοῦτος	Pronoun
κολάζω	Verb
μέλας	Adjective
σπέρμα	Noun-N
τελευταῖος	Adjective
βέβαιος	Adjective
βλάπτω	Verb
τελευτή	Noun-F
Δημήτριος	Noun-M
Πτολεμαῖος	Noun-M
πρέπω	Verb
περίειμι	Verb
ἐξαιρέω	Verb
ἐκφέρω	Verb
ἐνώπιος	Preposition
σπεύδω	Verb
ἱμάτιον	Noun-N
σελήνη	Noun-F
συνέρχομαι	Verb
τάχα	Adjective
ἐπέχω	Verb
ἐνδέχομαι	Verb
ἔμπροσθεν	Adverb
ἥμισυς	Adjective
ὁρίζω	Verb
Συρακόσιος	Noun-M
μυριάς	Noun-F
κράτος	Noun-N
τράπεζα	Noun-F
θνητός	Adjective
ἀκολουθέω	Verb
δόμος	Noun-M
χρυσίον	Noun-N
παντάπασι	Adverb
λέων	Noun-M
ὠφελέω	Verb
ψεύδω	Verb
ὀστέον	Noun-N
πάτριος	Adjective
διατίθημι	Verb
στρατεία	Noun-F
οὖς	Noun-N
πόθεν	Adverb
ἀπορία	Noun-F
διαλύω	Verb
οἰκέτης	Noun-M
διαθήκη	Noun-F
ἐπικαλέω	Verb
Ἀφροδίτη	Noun-F
ἰατρός	Noun-M
ῥίπτω	Verb
καθόλου	Adverb
λαγχάνω	Verb
ἐρύω	Verb
ἔνδον	Adverb
κρατερός	Adjective
βέλος	Noun-N
οὔπω	Adverb
καθώς	Adverb
κώμη	Noun-F
γενναῖος	Adjective
κλῆρος	Noun-M
προσπίπτω	Verb
ἱστορία	Noun-F
Διονύσιος	Noun-M
κενός	Adjective
ἦκα	Adjective
μαθητής	Noun-M
ἐκεῖθεν	Adverb
ἀναχωρέω	Verb
ῥήτωρ	Noun-M
ἑός	Adjective
Ιουδα	Noun-M
ὁπλίτης	Noun-M
ἕξ	Adjective
ἐπιμελέομαι	Verb
Δαρεῖος	Noun-M
τριακόσιοι	Adjective
ἐλέγχω	Verb
πρόφασις	Noun-F
σώφρων	Adjective
συνάπτω	Verb
δωρεά	Noun-F
συμμαχία	Noun-F
βιβλίον	Noun-N
ὑπερβάλλω	Verb
ἀρχιερεύς	Noun-M
Ἀντίοχος	Noun-M
ἀσπίς	Noun-F
ἡσυχία	Noun-F
ἀρκέω	Verb
ἐπιφέρω	Verb
γωνία	Noun-F
κρύπτω	Verb
τριήρης	Noun-F
θεά	Noun-F
ταράσσω	Verb
εὐδαίμων	Adjective
ποικίλος	Adjective
προσκυνέω	Verb
μείγνυμι	Verb
παιδεύω	Verb
Βαβυλών	Noun-F
συντάσσω	Verb
ἰδιώτης	Noun-M
αἰχμάλωτος	Adjective
ἱκνέομαι	Verb
τοι	Particle
ἀνίημι	Verb
ἄναξ	Noun-M
ὁποῖος	Adjective
δένδρον	Noun-N
εὐλογέω	Verb
τάφος	Noun-M
διατρίβω	Verb
κλαίω	Verb
λύπη	Noun-F
ὄμμα	Noun-N
διαφεύγω	Verb
ἐπιβάλλω	Verb
ἄτοπος	Adjective
ἔλεος	Noun-N
φάρμακον	Noun-N
ἐσθής	Noun-F
πύργος	Noun-M
σκεῦος	Noun-N
ἐνέργεια	Noun-F
ὑπόκειμαι	Verb
πρόνοια	Noun-F
αἰσχύνω	Verb
διανοέω	Verb
ἐπιφανής	Adjective
ἐπισκοπέω	Verb
χθών	Noun-F
περισσός	Adjective
Κορίνθιος	Noun-M
ἀσθενής	Adjective
ἀδικία	Noun-F
ἐνθάδε	Adverb
ὑπερβολή	Noun-F
πρόβατον	Noun-N
Ἀντίγονος	Noun-M
πλευρά	Noun-F
τηρέω	Verb
ἐντέλλω	Verb
μά	Particle
Γαῗος	Noun-M
διακόσιοι	Adjective
κόλπος	Noun-M
δάκρυον	Noun-N
παιδεία	Noun-F
πῆχυς	Noun-M
νόμιμος	Adjective
δώδεκα	Adjective
ἀνθρώπινος	Adjective
Ἕκτωρ	Noun-M
λίμνη	Noun-F
Β	Noun-M
ἀθρόος	Adjective
ἀδελφή	Noun-F
τεός	Adverb
κατάγω	Verb
ἔξωθεν	Adverb
ἁρμόζω	Verb
λιμός	Noun-M
εἰσφέρω	Verb
δικαστήριον	Noun-N
διόπερ	Conjunction
ὑγρός	Adjective
συνίημι	Verb
προαίρεσις	Noun-F
ᾅδης	Noun-M
φιλοσοφία	Noun-F
δουλεύω	Verb
τετράγωνος	Adjective
ἁρπάζω	Verb
δεσμός	Noun-M
μέλω	Verb
πατρῷος	Adjective
ὄρνις	Noun-M
καινός	Adjective
ἄλογος	Adjective
ἀθροίζω	Verb
γαστήρ	Noun-F
διηγέομαι	Verb
ὑπισχνέομαι	Verb
καθίζω	Verb
ἄκων	Adjective
ἱδρύω	Verb
μιμέομαι	Verb
ἄρσην	Noun-M
Φοῖνιξ	Noun-M
πρόγονος	Noun-M
ὕψος	Noun-N
δῶμα	Noun-N
περιβάλλω	Verb
παντελής	Adverb
σήμερον	Adverb
ἔπαινος	Noun-M
ἐπιμέλεια	Noun-F
δικάζω	Verb
Θρᾷξ	Noun-M
ἆθλος	Noun-N
καίπερ	Particle
νεανίσκος	Noun-M
συντελέω	Verb
ὄφρα	Conjunction
Α	Noun-M
ἐπιβουλεύω	Verb
τυραννίς	Noun-F
ξίφος	Noun-N
θρόνος	Noun-M
Ἑρμῆς	Noun-M
βάσις	Noun-F
πικρός	Adjective
Ἑλληνικός	Adjective
διατελέω	Verb
καίω	Verb
ἄρτι	Adverb
δήπου	Particle
Πελοπόννησος	Noun-F
διάφορος	Adjective
κάμνω	Verb
ὄλλυμι	Verb
πεντακόσιοι	Adjective
ὑπακούω	Verb
ὅσιος	Adjective
ἐκτός	Adverb
Ἰακώβ	Noun-M
πρόειμι	Verb
ὑβρίζω	Verb
ἐπιβαίνω	Verb
Μῆδος	Noun-M
γυμνός	Adjective
ἀφανίζω	Verb
ἥδω	Verb
Ἀλκιβιάδης	Noun-M
ψῆφος	Noun-F
ἀμείβω	Verb
προσδοκάω	Verb
παραγγέλλω	Verb
πέλαγος	Noun-N
δρόμος	Noun-M
ἄγριος	Adjective
φρόνησις	Noun-F
ναυτικός	Adjective
βοήθεια	Noun-F
πονέω	Verb
νυνί	Adverb
παρεμβολή	Noun-F
πατάσσω	Verb
πολιορκία	Noun-F
ψήφισμα	Noun-N
μετρέω	Verb
σεμνός	Adjective
βροτός	Noun-M
ἐπαίρω	Verb
καθαιρέω	Verb
διαβάλλω	Verb
θῆλυς	Adjective
ἐλεέω	Verb
ἔλαιον	Noun-N
μαρτυρία	Noun-F
μακάριος	Adjective
δίαιτα	Noun-F
πέμπτος	Adjective
παράδοξος	Adjective
ἀπορέω	Verb
